21:28 13:35 16:43 14:35 16:15 16:13 12:23 13:49 16:28 11:58
DarkOliveGreen CornflowerBlue Cyan DeepPink FloralWhite Moccasin LightGoldenrod Thistle Honeydew AliceBlue
LightSlateGray DeepPink DeepPink Azure Gold Black OliveDrab Gray Turquoise Sienna
SkyBlue Moccasin Indigo Crimson VioletRed PapayaWhip LightBlue DarkFuchsia VioletRed VioletRed
BinaryNumber_1001101 BinaryNumber_0100101 BinaryNumber_0100001 BinaryNumber_0001101 BinaryNumber_0001000 BinaryNumber_0010011 BinaryNumber_0111111 BinaryNumber_1010010 BinaryNumber_1010001 BinaryNumber_1010110
BinaryNumber_1010101 BinaryNumber_0011110 BinaryNumber_1010111 BinaryNumber_0010100 BinaryNumber_1010011 BinaryNumber_0011010 BinaryNumber_0111010 BinaryNumber_0000100 BinaryNumber_1010001 BinaryNumber_1001101
BinaryNumber_0010010 BinaryNumber_0011011 BinaryNumber_0110101 BinaryNumber_1100011 BinaryNumber_0010011 BinaryNumber_0001000 BinaryNumber_0110011 BinaryNumber_0110010 BinaryNumber_0010111 BinaryNumber_0111011
BinaryNumber_0001000 BinaryNumber_0000001 BinaryNumber_0110000 BinaryNumber_0100110 BinaryNumber_1000101 BinaryNumber_1010001 BinaryNumber_1001111 BinaryNumber_0010111 BinaryNumber_1001010 BinaryNumber_0100110
BinaryNumber_1001011 BinaryNumber_1001100 BinaryNumber_0100011 BinaryNumber_1010110 BinaryNumber_1001010 BinaryNumber_1011100 BinaryNumber_0010001 BinaryNumber_0101100 BinaryNumber_1011100 BinaryNumber_0100001
BinaryNumber_0010100 BinaryNumber_0101111 BinaryNumber_0110110 BinaryNumber_1000010 BinaryNumber_1000111 BinaryNumber_0010000 BinaryNumber_0001010 BinaryNumber_0000011 BinaryNumber_0010101 BinaryNumber_1011110
BinaryNumber_1011011 BinaryNumber_1001111 BinaryNumber_0010011 BinaryNumber_0000000 BinaryNumber_0101000 BinaryNumber_0000101 BinaryNumber_0110110 BinaryNumber_1001000 BinaryNumber_0101000 BinaryNumber_0001010
BinaryNumber_0100110 BinaryNumber_0010110 BinaryNumber_0100101 BinaryNumber_0110110 BinaryNumber_0111111 BinaryNumber_0110011 BinaryNumber_0001101 BinaryNumber_1011101 BinaryNumber_1001011 BinaryNumber_0010111
BinaryNumber_0101001 BinaryNumber_1001000 BinaryNumber_0010000 BinaryNumber_1010001 BinaryNumber_0100100 BinaryNumber_1010000 BinaryNumber_0010011 BinaryNumber_1011101 BinaryNumber_1010001 BinaryNumber_1010011
BinaryNumber_1000001 BinaryNumber_1011110 BinaryNumber_0110101 BinaryNumber_1001000 BinaryNumber_0011101 BinaryNumber_0011010 BinaryNumber_0100110 BinaryNumber_1000111 BinaryNumber_0100111 BinaryNumber_1011110
BinaryNumber_1000001 BinaryNumber_1010101 BinaryNumber_1000111 BinaryNumber_0000010 BinaryNumber_1001111 BinaryNumber_1010001 BinaryNumber_0010101 BinaryNumber_0100101 BinaryNumber_0100010 BinaryNumber_0111100
